BuildingType	PrimaryPropertyType	Agebuilding	NumberofBuildings	NumberofFloors	PropertyGFAParking	LargestPropertyUseType	LargestPropertyUseTypeGFA	SecondLargestPropertyUseType	SecondLargestPropertyUseTypeGFA	ThirdLargestPropertyUseTypeGFA	ENERGYSTARScore	SiteEnergyUse(kBtu)	GHGEmissions(MetricTonsCO2e)	Latitude	Longitude
NonResidential	Small- and Mid-Sized Office	7	1.0	3.0	21410	Office	55188.0	Parking	21410.0	0.0	76.0	4476997.0	134.69	47.57089656	-122.2974118
NonResidential	Retail Store	20	1.0	2.0	0	Retail Store	70800.0	Supermarket/Grocery Store	56651.0	0.0	57.0	14583160.0	291.28	47.7240537	-122.2920529
NonResidential	Supermarket/Grocery Store	7	1.0	1.0	0	Supermarket/Grocery Store	63225.0	Supermarket/Grocery Store	0.0	0.0	100.0	6619941.0	46.15	47.56886018	-122.3377912
Nonresidential COS	Other	60	1.0	1.0	0	Other-Services	91532.0	Office	22248.0	0.0	75.0	3580091.0	122.16	47.56561534	-122.3540283
NonResidential	Non-Refrigerated Warehouse	16	1.0	1.0	0	Non-Refrigerated Warehouse	280356.0	Non-Refrigerated Warehouse	0.0	0.0	99.0	2512319.0	93.67	47.56376232	-122.3423613
NonResidential	Other	14	1.0	3.0	156312	Parking	156312.0	Office	116440.0	7500.0	43.2	12196872.0	85.03	47.64929601	-122.350499
NonResidential	Small- and Mid-Sized Office	63	1.0	3.0	12998	Small- and Mid-Sized Office	56119.8	Small- and Mid-Sized Office	0.0	0.0	55.8	9109967.0	63.51	47.63548436	-122.3409248
NonResidential	Retail Store	18	1.0	1.0	0	Retail Store	107931.0	Retail Store	0.0	0.0	82.0	7261732.0	87.03	47.72050908	-122.3473928
NonResidential	Non-Refrigerated Warehouse	16	1.0	3.0	0	Non-Refrigerated Warehouse	67155.0	Non-Refrigerated Warehouse	0.0	0.0	34.0	884314.0	14.65	47.72385371	-122.3407784
NonResidential	Other	51	1.0	1.0	0	Strip Mall	124231.0	Parking	0.0	0.0	67.0	11564788.0	220.38	47.72548938	-122.3469881
NonResidential	Other	31	1.0	1.0	0	Wholesale Club/Supercenter	144776.0	Wholesale Club/Supercenter	0.0	0.0	57.0	13146645.0	230.45	47.72842333	-122.3444389
NonResidential	Retail Store	48	1.0	1.0	0	Retail Store	57805.0	Supermarket/Grocery Store	56312.0	0.0	96.0	11511880.0	325.3	47.72545915	-122.3425529
NonResidential	Supermarket/Grocery Store	18	1.0	1.0	0	Supermarket/Grocery Store	50065.0	Parking	0.0	0.0	78.0	8611054.0	154.6	47.72465497	-122.34491274
NonResidential	Large Office	27	1.0	3.0	0	Office	96504.0	Office	0.0	0.0	77.0	4734631.0	33.02	47.65060893	-122.3530578
NonResidential	Small- and Mid-Sized Office	15	1.0	4.0	36528	Office	90000.0	Office	0.0	0.0	82.0	4045980.0	28.21	47.64970141	-122.3517949
NonResidential	Small- and Mid-Sized Office	14	1.0	3.0	33709	Office	62232.0	Parking	33709.0	0.0	69.0	5471735.0	38.15	47.6487041	-122.3505842
NonResidential	Large Office	16	1.0	3.0	114829	Large Office	56949.6	Large Office	0.0	0.0	94.0	12229610.0	100.96	47.6481342	-122.3484595
NonResidential	Large Office	16	1.0	4.0	103032	Office	138995.0	Parking	24549.0	0.0	76.0	10328702.0	97.97	47.64884638	-122.348972
NonResidential	Mixed Use Property	24	1.0	6.0	0	Other-Entertainment/Public Assembly	119815.0	Other-Recreation	63101.0	26380.0	70.2	55947848.0	1869.17	47.60729218	-122.33785248
NonResidential	Large Office	33	1.0	5.0	121375	Office	243018.0	Parking	108408.0	0.0	95.0	7838600.0	54.65	47.55172357	-122.32697144
NonResidential	Non-Refrigerated Warehouse	48	1.0	2.0	0	Non-Refrigerated Warehouse	70000.0	Office	20000.0	0.0	89.0	1272814.0	15.25	47.54988981	-122.3286358
NonResidential	Other	49	1.0	1.0	0	Other	54523.4	Other	0.0	0.0	75.6	989975.0	27.8	47.55030549	-122.3260997
NonResidential	Small- and Mid-Sized Office	90	1.0	6.0	6200	Office	53993.0	Retail Store	24744.0	4500.0	50.6	4767227.0	118.86	47.66897964	-122.38531494
NonResidential	Non-Refrigerated Warehouse	74	1.0	2.0	0	Non-Refrigerated Warehouse	63240.0	Non-Refrigerated Warehouse	0.0	0.0	100.0	183521.0	5.54	47.66746426	-122.3856536
NonResidential	Other	7	1.0	5.0	182454	Parking	182454.0	Retail Store	130744.0	0.0	59.0	16917964.0	406.2	47.66256332	-122.37516785
NonResidential	Self-Storage Facility	27	1.0	4.0	23400	Self-Storage Facility	130293.0	Parking	8800.0	0.0	85.0	505559.0	3.52	47.64716297	-122.3757914
NonResidential	Non-Refrigerated Warehouse	18	1.0	4.0	0	Non-Refrigerated Warehouse	106041.0	Non-Refrigerated Warehouse	0.0	0.0	93.0	1118392.0	23.84	47.65563392	-122.3747028
NonResidential	Self-Storage Facility	59	1.0	3.0	0	Self-Storage Facility	94470.0	Self-Storage Facility	0.0	0.0	65.6	922041.0	29.92	47.63631236	-122.3754702
NonResidential	Large Office	13	1.0	10.0	38186	Office	153364.0	Parking	24421.0	2155.0	86.0	8070420.0	56.26	47.59964099	-122.3279455
NonResidential	Retail Store	28	1.0	2.0	0	Retail Store	69800.0	Other	0.0	0.0	100.0	408513.0	2.85	47.66172585	-122.3179607
NonResidential	Non-Refrigerated Warehouse	49	1.0	1.0	0	Non-Refrigerated Warehouse	22780.0	Non-Refrigerated Warehouse	0.0	0.0	30.0	427697.0	2.98	47.54728272	-122.325775
NonResidential	Distribution Center	48	1.0	1.0	0	Distribution Center	124423.0	Parking	0.0	0.0	92.0	2457017.0	97.01	47.54218643	-122.329036
NonResidential	Distribution Center	48	1.0	1.0	0	Distribution Center	49918.0	Parking	0.0	0.0	71.0	1465535.0	39.35	47.54218643	-122.329036
NonResidential	Distribution Center	46	1.0	1.0	0	Distribution Center	57540.0	Distribution Center	0.0	0.0	29.0	1878979.0	30.1	47.54621444	-122.334819
NonResidential	Non-Refrigerated Warehouse	49	1.0	1.0	0	Non-Refrigerated Warehouse	85400.0	Non-Refrigerated Warehouse	0.0	0.0	47.0	1593187.0	11.11	47.54851596	-122.3276771
NonResidential	Non-Refrigerated Warehouse	49	1.0	1.0	0	Non-Refrigerated Warehouse	55700.0	Non-Refrigerated Warehouse	0.0	0.0	62.0	533078.0	3.72	47.54851596	-122.3276771
NonResidential	Small- and Mid-Sized Office	51	1.0	1.0	0	Office	52759.0	Parking	0.0	0.0	92.0	2196718.0	64.75	47.54966924	-122.3276807
NonResidential	Small- and Mid-Sized Office	28	1.0	6.0	28427	Small- and Mid-Sized Office	58392.8	Small- and Mid-Sized Office	0.0	0.0	95.0	2713722.0	42.86	47.62483876	-122.3485262
NonResidential	Non-Refrigerated Warehouse	29	1.0	3.0	0	Non-Refrigerated Warehouse	64660.0	Non-Refrigerated Warehouse	0.0	0.0	88.0	340270.0	6.58	47.71285067	-122.3442059
NonResidential	Mixed Use Property	88	1.0	2.0	19928	Other	28442.0	Office	28441.0	18961.0	40.6	3635600.0	35.72	47.6156585	-122.3174495
NonResidential	Distribution Center	47	1.0	1.0	0	Distribution Center	174227.0	Distribution Center	0.0	0.0	27.0	9245102.0	194.3	47.57009819	-122.333388
NonResidential	Distribution Center	66	1.0	1.0	0	Distribution Center	101101.0	Distribution Center	0.0	0.0	1.0	23612824.0	166.45	47.56875906	-122.33309
NonResidential	Distribution Center	35	1.0	1.0	0	Distribution Center	52613.0	Distribution Center	0.0	0.0	77.0	992738.0	29.02	47.57021636	-122.332386
NonResidential	Other	75	1.0	1.0	0	Other	45340.0	Office	11520.0	0.0	67.2	5234454.0	73.9	47.56784433	-122.3336582
NonResidential	Refrigerated Warehouse	62	1.0	1.0	0	Refrigerated Warehouse	100000.0	Office	4099.0	0.0	43.2	17714332.0	145.54	47.56652481	-122.3327126
NonResidential	Supermarket/Grocery Store	12	1.0	1.0	7450	Supermarket/Grocery Store	51722.0	Parking	0.0	0.0	48.0	13924967.0	377.36	47.69270472	-122.3550623
NonResidential	Supermarket/Grocery Store	35	1.0	1.0	0	Supermarket/Grocery Store	44431.0	Supermarket/Grocery Store	0.0	0.0	39.0	11639369.0	328.17	47.73314624	-122.3105194
NonResidential	Large Office	34	1.0	4.0	0	Office	186977.0	Parking	115477.0	0.0	86.0	12662456.0	226.92	47.6212428	-122.3297865
NonResidential	Non-Refrigerated Warehouse	60	1.0	1.0	0	Non-Refrigerated Warehouse	54523.4	Non-Refrigerated Warehouse	0.0	0.0	1.0	1575581.0	11.09	47.62145274	-122.3311285
NonResidential	Large Office	10	1.0	6.0	124800	Office	193420.0	Parking	124620.0	6180.0	94.0	9697866.0	67.61	47.61985503	-122.33048111
NonResidential	Retail Store	19	1.0	4.0	159994	Retail Store	98863.0	Retail Store	0.0	0.0	40.0	10020111.0	184.4	47.62035862	-122.3297037
NonResidential	Small- and Mid-Sized Office	101	1.0	2.0	0	Office	60676.0	Parking	13780.0	1324.0	33.0	5375518.0	38.08	47.59283131	-122.3087491
NonResidential	Small- and Mid-Sized Office	45	1.0	1.0	0	Office	60732.0	Other	8142.0	0.0	92.0	2855545.0	76.67	47.59364401	-122.3109277
NonResidential	Large Office	9	1.0	3.0	42440	Office	83715.0	Parking	18575.0	0.0	28.0	5917000.0	47.78	47.66514721	-122.3018094
NonResidential	Other	89	1.0	3.0	0	Other	74864.0	Other	0.0	0.0	38.4	14265421.0	99.45	47.61448142	-122.3098028
NonResidential	Non-Refrigerated Warehouse	24	1.0	2.0	0	Non-Refrigerated Warehouse	263528.0	Office	60388.0	0.0	81.0	11289052.0	364.9	47.56415346	-122.3275518
NonResidential	Large Office	83	1.0	14.0	0	Office	230140.0	Parking	156487.0	72830.0	86.0	15843743.0	184.83	47.59282532	-122.3168305
NonResidential	Small- and Mid-Sized Office	37	1.0	4.0	31210	Office	50235.0	Parking	25525.0	2875.0	77.0	4904803.0	34.19	47.64039142	-122.326242
NonResidential	Distribution Center	26	1.0	2.0	0	Distribution Center	63896.0	Office	33712.0	0.0	77.0	3228330.0	70.96	47.53692799	-122.3326807
NonResidential	Mixed Use Property	87	1.0	1.0	15000	Office	20000.0	Parking	15000.0	10000.0	69.6	2361088.0	48.6	47.62386402	-122.3308079
NonResidential	Large Office	25	1.0	5.0	66620	Office	78521.0	Parking	66650.0	0.0	56.0	5424718.0	37.82	47.62492806	-122.3297812
NonResidential	Retail Store	65	1.0	2.0	0	Retail Store	302812.0	Retail Store	0.0	0.0	97.0	7133767.0	115.76	47.70592963	-122.3257763
NonResidential	Small- and Mid-Sized Office	41	1.0	5.0	0	Office	78200.0	Office	0.0	0.0	57.0	8404370.0	259.33	47.70744968	-122.3317136
NonResidential	Other	46	1.0	2.0	0	Strip Mall	98539.0	Strip Mall	0.0	0.0	68.4	5711553.0	47.71	47.7094017	-122.3203319
NonResidential	Small- and Mid-Sized Office	34	1.0	6.0	0	Office	86483.0	Parking	0.0	0.0	50.0	6796335.0	47.38	47.70732866	-122.3327728
NonResidential	Distribution Center	39	1.0	1.0	0	Distribution Center	34400.0	Office	17200.0	0.0	82.0	1012341.0	21.57	47.53914935	-122.341353
NonResidential	Non-Refrigerated Warehouse	47	1.0	1.0	0	Non-Refrigerated Warehouse	140520.0	Non-Refrigerated Warehouse	0.0	0.0	73.0	1738376.0	42.41	47.53627727	-122.3375131
NonResidential	Large Office	29	1.0	5.0	62380	Office	91645.0	Parking	66288.0	0.0	88.4	1886382.0	47.84	47.63108155	-122.3419109
NonResidential	Other	10	1.0	3.0	91935	Parking	91935.0	Medical Office	69854.0	0.0	67.0	7020517.0	48.94	47.7088653	-122.3346333
NonResidential	Medical Office	10	1.0	3.0	0	Medical Office	60670.0	Retail Store	3239.0	0.0	62.8	4397572.0	30.66	47.71269972	-122.3376343
NonResidential	Non-Refrigerated Warehouse	67	1.0	2.0	0	Non-Refrigerated Warehouse	46846.0	Office	10033.0	0.0	76.0	1051944.0	35.86	47.69818968	-122.342898
NonResidential	Non-Refrigerated Warehouse	35	1.0	1.0	0	Non-Refrigerated Warehouse	50417.0	Non-Refrigerated Warehouse	0.0	0.0	59.0	1060850.0	40.65	47.52696432	-122.3293949
NonResidential	Medical Office	54	1.0	3.0	0	Medical Office	133298.0	Medical Office	0.0	0.0	34.0	14886199.0	292.92	47.70458235	-122.3325262
NonResidential	Retail Store	50	1.0	2.0	0	Retail Store	173106.0	Retail Store	0.0	0.0	76.0	6576563.0	88.66	47.70855501	-122.32376419
NonResidential	Mixed Use Property	13	1.0	5.0	113318	Parking	113318.0	Laboratory	84000.0	84000.0	71.8	43048528.0	1039.99	47.6344398	-122.3246823
NonResidential	Large Office	15	1.0	4.0	71385	Office	103970.0	Parking	71390.0	0.0	88.0	6991476.0	48.74	47.62464437	-122.3312698
NonResidential	Non-Refrigerated Warehouse	46	1.0	2.0	0	Non-Refrigerated Warehouse	104786.0	Non-Refrigerated Warehouse	0.0	0.0	92.0	960753.0	17.94	47.56097562	-122.3349164
NonResidential	Other	15	1.0	1.0	0	Other	51427.0	Other	0.0	0.0	66.0	1825347.0	51.67	47.55795279	-122.3347992
NonResidential	Other	42	1.0	1.0	0	Other	110689.0	Other	0.0	0.0	83.8	2227640.0	92.7	47.5589184	-122.3315553
NonResidential	Small- and Mid-Sized Office	67	1.0	1.0	0	Office	53620.0	Office	0.0	0.0	88.0	1998767.0	21.6	47.556121	-122.331634
NonResidential	Small- and Mid-Sized Office	77	1.0	1.0	0	Office	50008.0	Office	0.0	0.0	57.0	3373582.0	66.32	47.55604648	-122.3332733
NonResidential	Large Office	6	1.0	4.0	100176	Office	194674.0	Parking	111198.0	0.0	99.0	6083307.0	42.41	47.62516702	-122.3671766
NonResidential	Non-Refrigerated Warehouse	58	1.0	1.0	0	Non-Refrigerated Warehouse	43920.0	Office	6912.0	0.0	52.0	2666634.0	105.32	47.56408325	-122.3324282
NonResidential	Refrigerated Warehouse	44	1.0	1.0	0	Refrigerated Warehouse	63157.0	Refrigerated Warehouse	0.0	0.0	63.0	3022275.0	21.92	47.56156057	-122.3275348
NonResidential	Non-Refrigerated Warehouse	59	1.0	1.0	0	Non-Refrigerated Warehouse	98480.0	Non-Refrigerated Warehouse	0.0	0.0	67.0	2792236.0	41.15	47.56597185	-122.3288821
NonResidential	Mixed Use Property	111	1.0	2.0	0	Retail Store	31602.0	Parking	27427.0	18130.0	82.0	3129811.0	49.68	47.66088623	-122.3356731
NonResidential	Mixed Use Property	7	1.0	3.0	51218	Office	66737.0	Parking	58218.0	30230.0	48.8	20063722.0	565.79	47.63453293	-122.32646179
NonResidential	Other	95	1.0	3.0	63782	Other	106003.0	Parking	63782.0	0.0	48.4	21187538.0	485.76	47.63103515	-122.3275228
NonResidential	Large Office	44	1.0	11.0	0	Office	107594.0	Restaurant	15600.0	12000.0	56.0	13951571.0	360.04	47.62998519	-122.3396373
NonResidential	Small- and Mid-Sized Office	45	1.0	7.0	0	Office	93905.0	Parking	31348.0	0.0	62.0	6832991.0	47.64	47.6343814	-122.3396625
NonResidential	Non-Refrigerated Warehouse	41	1.0	1.0	0	Non-Refrigerated Warehouse	93020.0	Non-Refrigerated Warehouse	0.0	0.0	61.0	1226435.0	8.55	47.55487662	-122.3276403
NonResidential	Supermarket/Grocery Store	13	1.0	1.0	0	Supermarket/Grocery Store	54434.0	Parking	0.0	0.0	33.0	13440924.0	321.71	47.52100473	-122.2681394
NonResidential	Large Office	102	1.0	7.0	0	Office	193154.0	Office	0.0	0.0	100.0	1990444.0	28.88	47.59865952	-122.33460999
NonResidential	Small- and Mid-Sized Office	111	1.0	5.0	0	Office	65600.0	Office	0.0	0.0	95.0	1992690.0	13.8	47.59894829	-122.3337932
NonResidential	Small- and Mid-Sized Office	109	1.0	7.0	0	Office	65088.0	Retail Store	23857.0	0.0	59.0	6863561.0	130.62	47.5985496	-122.3332623
NonResidential	Small- and Mid-Sized Office	108	1.0	6.0	0	Office	63871.0	Office	0.0	0.0	84.0	2742111.0	19.12	47.59854848	-122.3338013
NonResidential	Small- and Mid-Sized Office	115	1.0	4.0	0	Office	34647.0	Retail Store	26039.0	0.0	88.0	2003759.0	64.67	47.59970561	-122.3337848
NonResidential	Small- and Mid-Sized Office	115	1.0	4.0	0	Office	41609.0	Retail Store	28734.0	0.0	95.0	2392466.0	31.89	47.60046292	-122.3337871
NonResidential	Small- and Mid-Sized Office	115	1.0	6.0	13320	Office	45799.0	Retail Store	9739.0	4689.0	49.8	3347567.0	23.34	47.60146407	-122.3324777
NonResidential	Large Office	115	1.0	4.0	0	Office	123607.0	Retail Store	20795.0	0.0	79.0	7319546.0	119.2	47.59961488	-122.3324883
NonResidential	Large Office	108	1.0	7.0	0	Office	160580.0	Office	0.0	0.0	98.0	4759256.0	124.66	47.59854889	-122.33197784
NonResidential	Small- and Mid-Sized Office	106	1.0	6.0	0	Office	47145.0	Non-Refrigerated Warehouse	9477.0	9477.0	83.0	3226884.0	22.5	47.60147726	-122.3293071
Nonresidential COS	Other	109	1.0	3.0	0	Other	33647.0	Office	19705.0	11988.0	63.6	1822830.0	12.71	47.59842225	-122.3298934
NonResidential	Mixed Use Property	105	1.0	3.0	0	Office	26250.0	Distribution Center	18050.0	12400.0	38.0	2314835.0	29.57	47.59264073	-122.3282811
NonResidential	Non-Refrigerated Warehouse	93	1.0	1.0	0	Non-Refrigerated Warehouse	58472.0	Retail Store	23282.0	0.0	86.0	2101376.0	70.17	47.59343565	-122.3266241
NonResidential	Other	62	1.0	2.0	0	Other	50500.0	Distribution Center	18000.0	7604.0	46.4	3366528.0	99.96	47.57886723	-122.3313026
NonResidential	Distribution Center	53	1.0	2.0	0	Distribution Center	85343.0	Office	13435.0	0.0	57.0	3002991.0	67.94	47.57654546	-122.3305232
NonResidential	Non-Refrigerated Warehouse	74	1.0	2.0	0	Non-Refrigerated Warehouse	58392.8	Non-Refrigerated Warehouse	0.0	0.0	65.2	4999863.0	142.52	47.58438465	-122.3328054
NonResidential	Large Office	115	1.0	4.0	25800	Office	104869.0	Office	0.0	0.0	85.0	3983784.0	27.77	47.58360662	-122.3337054
NonResidential	Non-Refrigerated Warehouse	61	1.0	1.0	0	Non-Refrigerated Warehouse	78814.0	Non-Refrigerated Warehouse	0.0	0.0	87.0	620483.0	14.5	47.58726986	-122.3326579
NonResidential	Small- and Mid-Sized Office	111	1.0	4.0	0	Office	39870.0	Non-Refrigerated Warehouse	11600.0	7000.0	70.6	1723642.0	41.22	47.59481812	-122.33364868
NonResidential	Distribution Center	105	1.0	6.0	10800	Distribution Center	51040.0	Office	10500.0	6000.0	29.0	2103276.0	14.66	47.59399214	-122.3337491
NonResidential	Distribution Center	108	1.0	4.0	0	Distribution Center	39884.0	Non-Refrigerated Warehouse	9270.0	4116.0	87.2	1040593.0	7.25	47.59363891	-122.3336868
NonResidential	Small- and Mid-Sized Office	111	1.0	4.0	0	Office	43122.0	Retail Store	10514.0	0.0	34.0	4618360.0	75.2	47.59699249	-122.33368683
NonResidential	Small- and Mid-Sized Office	106	1.0	6.0	10800	Office	65217.0	Parking	10918.0	0.0	78.0	2996502.0	20.91	47.59630585	-122.33368683
NonResidential	Large Office	111	1.0	7.0	0	Office	184322.0	Office	0.0	0.0	75.0	10317852.0	71.93	47.59767354	-122.3347397
NonResidential	Large Office	6	1.0	7.0	0	Office	273812.0	Retail Store	12102.0	0.0	33.0	28433056.0	202.49	47.59802246	-122.3348465
NonResidential	Small- and Mid-Sized Office	101	1.0	2.0	0	Office	63000.0	Office	0.0	0.0	49.0	6155789.0	182.58	47.59161446	-122.3351876
NonResidential	Mixed Use Property	6	1.0	6.0	111774	Parking	111774.0	Office	108747.0	49271.0	47.0	65225380.0	456.6	47.58927917	-122.33579254
NonResidential	Non-Refrigerated Warehouse	89	1.0	7.0	0	Non-Refrigerated Warehouse	144050.0	Non-Refrigerated Warehouse	0.0	0.0	17.0	4329044.0	96.17	47.58374482	-122.334689
NonResidential	Small- and Mid-Sized Office	85	1.0	3.0	0	Office	60384.0	Office	0.0	0.0	19.0	4993962.0	53.56	47.58242872	-122.3346455
NonResidential	Large Office	103	1.0	6.0	0	Office	1000730.0	Retail Store	281296.0	220303.0	77.0	78272488.0	953.12	47.58133381	-122.3357675
NonResidential	Retail Store	22	1.0	1.0	0	Retail Store	107704.0	Retail Store	0.0	0.0	58.0	7015692.0	92.68	47.57834803	-122.336006
NonResidential	Non-Refrigerated Warehouse	89	1.0	1.0	0	Non-Refrigerated Warehouse	99084.0	Non-Refrigerated Warehouse	0.0	0.0	64.0	1976920.0	45.6	47.57109832	-122.3355118
NonResidential	Distribution Center	62	1.0	1.0	0	Distribution Center	72719.0	Distribution Center	0.0	0.0	31.0	2434208.0	38.62	47.56679281	-122.3523106
NonResidential	Small- and Mid-Sized Office	85	1.0	4.0	0	Office	76624.0	Office	0.0	0.0	91.0	2660396.0	28.78	47.59511688	-122.3270857
NonResidential	Small- and Mid-Sized Office	14	1.0	6.0	36583	Office	53281.0	Parking	34701.0	3724.0	3.0	7654264.0	53.36	47.6615192	-122.3162379
NonResidential	Medical Office	7	1.0	5.0	37287	Medical Office	89131.0	Parking	37652.0	5615.0	24.0	13253979.0	288.43	47.62395105	-122.333912
NonResidential	Large Office	24	1.0	5.0	16221	Office	116251.0	Office	0.0	0.0	45.0	7761927.0	54.11	47.5679286	-122.3641365
NonResidential	Retail Store	42	1.0	1.0	0	Retail Store	56576.0	Retail Store	0.0	0.0	70.0	2184912.0	60.98	47.5666089	-122.3234388
NonResidential	Medical Office	11	1.0	0.0	0	Medical Office	200184.0	Medical Office	0.0	0.0	61.0	18558162.0	604.45	47.60967963	-122.3231052
NonResidential	Mixed Use Property	9	1.0	0.0	0	Parking	385196.0	Multifamily Housing	340236.0	67627.0	19.0	48981052.0	1222.69	47.617939	-122.33738708
NonResidential	Large Office	15	1.0	11.0	0	Office	303312.0	Data Center	4738.0	4462.0	65.0	26313108.0	192.23	47.59823576	-122.3277466
NonResidential	Large Office	10	1.0	42.0	297457	Office	914832.0	Parking	348788.0	303910.0	96.0	58041572.0	500.93	47.60761629	-122.338131
NonResidential	Small- and Mid-Sized Office	89	1.0	6.0	0	Office	51585.0	Data Center	11999.0	9989.0	59.6	2616226.0	18.24	47.61077374	-122.33577311
NonResidential	Medical Office	30	1.0	10.0	206580	Medical Office	197408.0	Medical Office	0.0	0.0	48.0	17871658.0	235.69	47.61009216	-122.32214355
NonResidential	Medical Office	28	1.0	7.0	0	Medical Office	94500.0	Medical Office	0.0	0.0	54.0	6010407.0	41.9	47.60648346	-122.31105804
NonResidential	Retail Store	10	1.0	1.0	0	Retail Store	109758.0	Retail Store	0.0	0.0	79.0	5230553.0	84.18	47.53641069	-122.3638102
NonResidential	Medical Office	7	1.0	9.0	101342	Medical Office	201365.0	Parking	86270.0	0.0	61.0	14224039.0	123.18	47.60700323	-122.32910715
NonResidential	Medical Office	7	1.0	15.0	250000	Medical Office	434475.0	Parking	250000.0	0.0	60.0	55030192.0	1891.47	47.60395194	-122.3240621
NonResidential	Medical Office	42	1.0	19.0	156407	Medical Office	170727.0	Parking	69171.0	0.0	53.0	14830411.0	333.3	47.60861082	-122.3252543
NonResidential	Large Office	115	1.0	6.0	0	Office	114919.0	Retail Store	28643.0	0.0	93.0	8371368.0	282.72	47.60349153	-122.3355759
NonResidential	Small- and Mid-Sized Office	115	1.0	6.0	0	Office	46000.0	Retail Store	10500.0	0.0	45.0	3436032.0	23.95	47.60197315	-122.3345722
NonResidential	Small- and Mid-Sized Office	90	1.0	4.0	0	Office	72000.0	Office	0.0	0.0	93.0	2383075.0	21.04	47.59553065	-122.3246957
NonResidential	Large Office	15	1.0	4.0	94892	Office	103000.0	Parking	80000.0	0.0	93.0	5032796.0	35.09	47.63380792	-122.3407964
NonResidential	Other	14	1.0	3.0	11527	Other-Recreation	50000.0	Parking	11527.0	0.0	64.0	6171270.0	176.59	47.56800769	-122.3676399
NonResidential	Other	21	1.0	1.0	0	Strip Mall	107427.0	Parking	0.0	0.0	58.8	21069722.0	546.2	47.56922192	-122.289826
NonResidential	Large Office	7	1.0	14.0	124506	Office	234864.0	Parking	97874.0	3534.0	81.0	17812788.0	129.02	47.6156434	-122.3350443
NonResidential	Other	21	1.0	2.0	0	Lifestyle Center	81385.0	Lifestyle Center	0.0	0.0	41.4	13480326.0	293.05	47.62508085	-122.3551912
NonResidential	Large Office	14	1.0	23.0	84660	Office	357345.0	Parking	122821.0	0.0	92.0	14991744.0	104.51	47.61144638	-122.33274841
NonResidential	Other	32	1.0	6.0	197130	Parking	197040.0	Office	78852.0	0.0	82.0	5653656.0	39.41	47.61222215	-122.3490938
NonResidential	Small- and Mid-Sized Office	33	1.0	5.0	0	Office	98668.0	Office	0.0	0.0	89.0	4785692.0	33.36	47.62496806	-122.359705
NonResidential	Large Office	8	1.0	1.0	28381	Office	80157.0	Multifamily Housing	34302.0	26937.0	20.0	7577723.0	75.45	47.57473593	-122.3209
NonResidential	Large Office	37	1.0	1.0	0	Office	105100.0	Office	0.0	0.0	1.0	21832304.0	350.87	47.65676796	-122.3704009
NonResidential	Retail Store	7	1.0	1.0	0	Retail Store	60000.0	Retail Store	0.0	0.0	32.0	12037792.0	313.53	47.63720081	-122.3769633
NonResidential	Retail Store	37	1.0	1.0	0	Retail Store	50660.0	Retail Store	0.0	0.0	53.0	2394843.0	46.23	47.632965	-122.376907
NonResidential	Small- and Mid-Sized Office	78	1.0	2.0	0	Office	39879.0	Office	0.0	0.0	55.0	2150536.0	49.26	47.63167638	-122.3756112
NonResidential	Large Office	15	1.0	4.0	55000	Office	104667.0	Data Center	5444.0	0.0	2.0	22965152.0	160.1	47.62299616	-122.3644904
NonResidential	Large Office	15	1.0	4.0	42500	Office	80668.0	Parking	42500.0	4778.0	1.0	25764716.0	179.62	47.62243869	-122.3637884
NonResidential	Large Office	15	1.0	5.0	55971	Office	90417.0	Parking	55971.0	2137.0	51.0	7649110.0	53.32	47.62183942	-122.3630154
NonResidential	Large Office	7	1.0	5.0	46763	Office	133451.0	Parking	46763.0	3750.0	53.0	15232788.0	106.19	47.62080128	-122.3617211
NonResidential	Large Office	29	1.0	5.0	78848	Office	109978.0	Parking	78848.0	0.0	95.0	5454482.0	137.15	47.61897016	-122.3594294
NonResidential	Large Office	29	1.0	7.0	80283	Office	181068.0	Parking	84935.0	14899.0	66.0	12931002.0	90.15	47.61734733	-122.3571642
NonResidential	Large Office	22	1.0	3.0	0	Office	171783.0	Non-Refrigerated Warehouse	9581.0	4413.0	78.0	9680169.0	67.48	47.61401367	-122.35378265
NonResidential	Large Office	15	1.0	5.0	117867	Office	126218.0	Data Center	12717.0	0.0	98.0	17320768.0	120.75	47.61286627	-122.3501976
NonResidential	Non-Refrigerated Warehouse	103	1.0	5.0	0	Non-Refrigerated Warehouse	95330.0	Non-Refrigerated Warehouse	0.0	0.0	79.0	1250669.0	8.72	47.6068859	-122.3402309
NonResidential	Large Office	97	1.0	6.0	14690	Office	64055.0	Adult Education	14621.0	12359.0	75.0	5101817.0	57.03	47.60599899	-122.33947754
NonResidential	Large Office	110	1.0	6.0	0	Office	111019.0	Retail Store	20401.0	634.0	74.0	6455470.0	45.0	47.60470353	-122.3373944
NonResidential	Large Office	104	1.0	5.0	32160	Office	135173.0	Parking	32000.0	0.0	95.0	6669954.0	260.94	47.60373017	-122.3373671
NonResidential	Large Office	105	1.0	6.0	0	Office	80400.0	Retail Store	16080.0	0.0	88.0	4368113.0	66.23	47.60232676	-122.336083
NonResidential	Other	105	1.0	6.0	0	Other	67670.0	Retail Store	13534.0	0.0	69.4	3165109.0	71.03	47.60196269	-122.33555116
