BuildingType	PrimaryPropertyType	Agebuilding	NumberofBuildings	NumberofFloors	PropertyGFAParking	LargestPropertyUseType	LargestPropertyUseTypeGFA	SecondLargestPropertyUseType	SecondLargestPropertyUseTypeGFA	ThirdLargestPropertyUseTypeGFA	ENERGYSTARScore	SiteEnergyUse(kBtu)	GHGEmissions(MetricTonsCO2e)	Latitude	Longitude
NonResidential	K-12 School	61	1.0	3.0	0	K-12 School	175015.0	K-12 School	0.0	0.0	95.0	7080118.0	251.72	47.68894837	-122.33616192
NonResidential	Self-Storage Facility	104	1.0	3.0	0	Self-Storage Facility	38439.0	Vocational School	28197.0	3859.0	66.0	2147062.0	39.87	47.61311034	-122.35096928
NonResidential	Hotel	46	1.0	24.0	205970	Hotel	348630.0	Hotel	0.0	0.0	68.0	15660628.0	263.85	47.60950466	-122.3334029
NonResidential	Large Office	42	1.0	5.0	0	Office	103501.0	Retail Store	65676.0	354.0	79.0	9213841.0	64.23	47.61103976	-122.3363484
NonResidential	Retail Store	95	1.0	2.0	0	Retail Store	34617.0	Non-Refrigerated Warehouse	13028.0	9783.0	99.4	0.0	0.0	47.61076355	-122.337677
NonResidential	Small- and Mid-Sized Office	105	1.0	8.0	0	Office	34947.0	Retail Store	4993.0	0.0	48.4	3915947.0	27.3	47.610466	-122.33795929
NonResidential	Mixed Use Property	89	1.0	2.0	0	Other-Entertainment/Public Assembly	23500.0	Restaurant	23500.0	5459.0	57.6	15583947.0	583.41	47.60883331	-122.3374176
NonResidential	Hotel	85	1.0	20.0	10043	Hotel	83591.0	Parking	10043.0	5000.0	46.0	6175812.0	77.8	47.61229324	-122.33441925
NonResidential	Hotel	33	1.0	34.0	146694	Hotel	994212.0	Parking	117668.0	0.0	60.0	85357952.0	2846.07	47.61101988	-122.3335344
NonResidential	Hotel	30	1.0	7.0	0	Hotel	41340.0	Parking	13730.0	9604.0	99.0	5040382.0	126.83	47.60989093	-122.3414255
NonResidential	Hotel	107	1.0	7.0	0	Hotel	88360.0	Other-Entertainment/Public Assembly	26450.0	8000.0	99.0	5086863.0	209.92	47.61155254	-122.3408486
NonResidential	Hotel	56	1.0	5.0	42546	Hotel	58392.8	Hotel	0.0	0.0	86.0	4988241.0	120.73	47.62037281	-122.3441465
NonResidential	Hotel	15	1.0	7.0	34735	Hotel	107547.0	Restaurant	3000.0	0.0	83.0	6722886.0	191.58	47.6203118	-122.3428044
NonResidential	Hotel	18	1.0	6.0	28200	Hotel	88490.0	Parking	28300.0	0.0	84.0	6014078.0	170.01	47.62021696	-122.3432115
NonResidential	Hotel	17	1.0	6.0	36744	Hotel	155602.0	Hotel	0.0	0.0	81.0	6915293.0	156.59	47.62050588	-122.3596901
NonResidential	K-12 School	104	1.0	3.0	0	K-12 School	56072.0	K-12 School	0.0	0.0	77.0	3106930.0	139.62	47.63445532	-122.3080163
NonResidential	Hotel	16	1.0	4.0	44891	Hotel	78051.0	Parking	44891.0	0.0	94.0	5276777.0	169.49	47.62498256	-122.3445605
NonResidential	Small- and Mid-Sized Office	53	1.0	2.0	0	Office	54984.0	Office	0.0	0.0	65.0	3504957.0	85.51	47.60841187	-122.3095441
NonResidential	Senior Care Community	93	1.0	5.0	0	Senior Care Community	296313.0	Parking	0.0	0.0	50.0	45494324.0	1858.84	47.55837362	-122.378518
NonResidential	Senior Care Community	45	1.0	2.0	0	Senior Care Community	93397.0	Senior Care Community	0.0	0.0	1.0	16371764.0	602.0	47.72389349	-122.3562998
NonResidential	Hotel	7	1.0	6.0	20732	Hotel	63371.0	Parking	20732.0	0.0	68.0	3979132.0	74.04	47.61990903	-122.3320457
SPS-District K-12	K-12 School	67	1.0	2.0	0	K-12 School	53352.0	K-12 School	0.0	0.0	59.2	1710371.4	38.60600000000001	47.50935392	-122.3782222
NonResidential	Medical Office	50	1.0	3.0	0	Medical Office	179014.0	Medical Office	0.0	0.0	48.0	18868768.0	563.78	47.61249662	-122.3213373
NonResidential	Hotel	107	1.0	7.0	0	Hotel	76631.0	Hotel	0.0	0.0	24.0	7231928.0	255.64	47.60895788	-122.3268374
NonResidential	Mixed Use Property	32	1.0	6.0	18493	Medical Office	40174.0	Parking	20868.0	17020.0	52.6	15240688.0	444.42	47.60831445	-122.3266192
NonResidential	Retail Store	86	1.0	2.0	0	Retail Store	72072.0	Retail Store	0.0	0.0	95.0	1074180.0	39.69	47.622375	-122.33805
NonResidential	Large Office	5	1.0	5.0	0	Office	261826.0	Parking	150726.0	15139.0	96.0	13300859.0	131.03	47.62428336	-122.33589247
NonResidential	Hotel	25	1.0	7.0	44766	Hotel	235788.0	Parking	51537.0	0.0	40.0	18829136.0	509.18	47.6263594	-122.333131
Nonresidential COS	Other	53	1.0	1.0	0	Other	368000.0	Other	0.0	0.0	51.4	29337400.0	760.51	47.62124083	-122.3534322
Nonresidential COS	Other	53	1.0	1.0	0	Other	65000.0	Other	0.0	0.0	51.2	5069854.0	123.28	47.62124083	-122.3534322
Nonresidential COS	Other	77	1.0	5.0	0	Other	278500.0	Other	0.0	0.0	51.6	27185096.0	900.81	47.62189039	-122.3502752
NonResidential	Large Office	5	1.0	12.0	0	Office	598801.0	Parking	310699.0	26203.0	89.0	41734776.0	636.96	47.62099765	-122.33592466
Nonresidential COS	Other	53	1.0	2.0	0	Other	52000.0	Other	0.0	0.0	60.4	2632472.0	96.39	47.62393635	-122.35193
Nonresidential COS	Other	87	1.0	1.0	0	Other	108000.0	Other	0.0	0.0	76.8	924980.0	6.45	47.62388082	-122.3499699
Nonresidential COS	Other	87	1.0	2.0	0	Other	296000.0	Other	0.0	0.0	58.8	20828130.0	398.51	47.62388082	-122.3499699
NonResidential	Small- and Mid-Sized Office	29	1.0	2.0	2352	Office	45900.0	Data Center	5181.0	4551.0	36.4	4329966.0	30.19	47.623925	-122.3483417
